"table_schema","table_name"
"gwi_raw_intacct","run_date_2026_01_22"
"gwi_raw_intacct","vendors"
"gwi_raw_intacct","vendors_flat"
"raw_intacct","intacct_to_vetro_pin_map"
"raw_intacct","intel_ap_payments"
"raw_intacct","intel_ap_payments_rawjson"
"raw_intacct","intel_gl_entries"
"raw_sage","gl_detail_2025_10"
"raw_sage","trial_balance_2025_10"
"raw_salesforce","account_system_id__c_export"
"raw_salesforce","accounts"
"raw_salesforce","contracts"
"raw_salesforce","opportunities"
"raw_salesforce","sf_platt_customer_segment"
"raw_salesforce","sf_systems_crosswalk"
"raw_salesforce","system_id__c_export"
"raw_salesforce","v_account_segment"
"raw_salesforce","v_accounts_platt_map"
"raw_salesforce","v_islesboro_360"
"raw_sheets","active_master_system_list_raw"
"raw_sheets","cci_c_band_price_only_low_tickets"
"raw_sheets","cci_detail"
"raw_sheets","cci_detail_2025_10"
"raw_sheets","cci_e_band_exit_accounts"
"raw_sheets","cci_hosted_pbx_uplift_to_50"
"raw_sheets","cci_inuse"
"raw_sheets","cci_inuse_2025_10"
"raw_sheets","cci_inventory_in_use"
"raw_sheets","cci_mrr_vs_cci_cost_enriched"
"raw_sheets","cci_pricing_negotiated"
"raw_sheets","cci_summary"
"raw_sheets","cci_summary_2025_10"
"raw_sheets","cci_tickets_2025_10"
"raw_sheets","cci_tickets_raw"
"raw_sheets","cogs_cci_copper_data"
"raw_sheets","curated_leeds_model_20250110"
"raw_sheets","curated_leeds_model_20250110_view"
"raw_sheets","it_lan_overhaul_raw"
"raw_sheets","nse_ip_audit_summary_raw"
"raw_sheets","p7_commercial_mrr"
"raw_sheets","p7_residential_mrr"
"raw_sheets","passings_bulk_retail_map"
"raw_sheets","passings_business_totals"
"raw_sheets","passings_pipeline_totals"
"raw_sheets","platt_gl_revenue_2025_11"
"raw_sheets","projects_acquisition_models_raw"
"raw_sheets","projects_economics_monthly_raw"
"raw_sheets","projects_lc_pipeline_raw"
"raw_sheets","projects_pipeline_input_raw"
"raw_sheets","projects_pipeline_raw"
"raw_sheets","raw_lc_pipeline_funnel_summary_20250110"
"raw_sheets","raw_lc_pipeline_pipeline_summary_20250110"
"raw_sheets","raw_leeds_model_20250110"
"raw_sheets","raw_leeds_monthly_cashflow_20250110"
"raw_sheets","raw_leeds_summary_20250110"
"raw_sheets","raw_line_custrate"
"raw_sheets","raw_line_custrate_history"
"raw_sheets","raw_line_idetail"
"raw_sheets","raw_line_iheader"
"raw_sheets","raw_line_rgheader"
"raw_sheets","raw_stowe_model_20250110"
"raw_sheets","s3_probe_projects_pipeline"
"raw_sheets","temp_header_reader"
"raw_sheets","temp_stowe_header"
"raw_sheets","v_cci_costs_by_crid"
"raw_sheets","v_cci_tickets_clean"
"raw_sheets","vetro_features_parsed"
"raw_sheets","vetro_features_raw"
"raw_sheets","vetro_fsa_features"
"raw_vetro","raw_vetro_files"
